State,Total_Expenses,Product,Sales,Market_Size,Profit,Market,Marketing,Product_Type,Inventory,Type
California,63.0,Amaretto,109.0,Major Market,-131.0,West,40,Coffee,2947.0,Regular
California,55.0,Green Tea,201.0,Major Market,88.0,West,24,Tea,659.0,Regular
California,143.0,Caffe Mocha,289.0,Major Market,25.0,West,109,Espresso,788.0,Regular
California,113.0,Decaf Espresso,576.0,Major Market,216.0,West,81,Espresso,1744.0,Decaf
California,37.0,Chamomile,247.0,Major Market,148.0,West,26,Herbal Tea,809.0,Decaf
California,99.0,Lemon,582.0,Major Market,291.0,West,77,Herbal Tea,1268.0,Decaf
California,25.0,Mint,90.0,Major Market,26.0,West,12,Herbal Tea,541.0,Decaf
California,43.0,Darjeeling,276.0,Major Market,120.0,West,31,Tea,897.0,Regular
California,32.0,Earl Grey,187.0,Major Market,79.0,West,21,Tea,580.0,Regular
California,142.0,Columbian,687.0,Major Market,364.0,West,90,Coffee,2067.0,Regular
California,166.0,Columbian,902.0,Major Market,508.0,West,127,Coffee,2617.0,Regular
California,139.0,Columbian,664.0,Major Market,349.0,West,87,Coffee,2580.0,Regular
California,54.0,Green Tea,168.0,Major Market,47.0,West,22,Tea,677.0,Regular
California,109.0,Decaf Espresso,546.0,Major Market,203.0,West,77,Espresso,1310.0,Decaf
California,116.0,Decaf Espresso,589.0,Major Market,220.0,West,83,Espresso,1686.0,Decaf
California,107.0,Decaf Espresso,567.0,Major Market,292.0,West,75,Espresso,1691.0,Decaf
California,33.0,Chamomile,198.0,Major Market,84.0,West,22,Herbal Tea,984.0,Decaf
California,88.0,Lemon,467.0,Major Market,165.0,West,66,Herbal Tea,923.0,Decaf
California,91.0,Lemon,490.0,Major Market,174.0,West,69,Herbal Tea,1272.0,Decaf
California,28.0,Mint,119.0,Major Market,52.0,West,17,Herbal Tea,554.0,Decaf
California,44.0,Darjeeling,290.0,Major Market,128.0,West,33,Tea,930.0,Regular
California,92.0,Caffe Latte,527.0,Major Market,230.0,West,74,Espresso,1819.0,Regular
California,92.0,Caffe Latte,527.0,Major Market,230.0,West,74,Espresso,1797.0,Regular
California,96.0,Decaf Irish Cream,132.0,Major Market,-182.0,West,47,Coffee,862.0,Decaf
California,49.0,Green Tea,159.0,Major Market,59.0,West,21,Tea,593.0,Regular
California,111.0,Decaf Espresso,607.0,Major Market,317.0,West,86,Espresso,1433.0,Decaf
California,85.0,Lemon,452.0,Major Market,160.0,West,64,Herbal Tea,965.0,Decaf
California,30.0,Mint,120.0,Major Market,38.0,West,17,Herbal Tea,554.0,Decaf
California,37.0,Mint,188.0,Major Market,92.0,West,27,Herbal Tea,574.0,Decaf
California,41.0,Darjeeling,256.0,Major Market,111.0,West,29,Tea,821.0,Regular
California,45.0,Darjeeling,302.0,Major Market,134.0,West,34,Tea,928.0,Regular
California,45.0,Darjeeling,322.0,Major Market,199.0,West,34,Tea,928.0,Regular
California,40.0,Earl Grey,245.0,Major Market,105.0,West,28,Tea,598.0,Regular
California,90.0,Caffe Latte,509.0,Major Market,221.0,West,66,Espresso,1417.0,Regular
California,93.0,Caffe Latte,531.0,Major Market,232.0,West,69,Espresso,1775.0,Regular
California,146.0,Caffe Mocha,298.0,Major Market,27.0,West,113,Espresso,700.0,Regular
California,146.0,Caffe Mocha,318.0,Major Market,40.0,West,113,Espresso,700.0,Regular
California,113.0,Decaf Espresso,604.0,Major Market,313.0,West,80,Espresso,1260.0,Decaf
California,88.0,Lemon,498.0,Major Market,245.0,West,66,Herbal Tea,923.0,Decaf
California,27.0,Mint,106.0,Major Market,43.0,West,14,Herbal Tea,531.0,Decaf
California,45.0,Darjeeling,322.0,Major Market,199.0,West,34,Tea,959.0,Regular
California,92.0,Caffe Latte,510.0,Major Market,218.0,West,63,Espresso,1459.0,Regular
California,94.0,Decaf Irish Cream,135.0,Major Market,-180.0,West,50,Coffee,1288.0,Decaf
California,167.0,Caffe Mocha,384.0,Major Market,62.0,West,147,Espresso,943.0,Regular
California,39.0,Chamomile,245.0,Major Market,106.0,West,28,Herbal Tea,822.0,Decaf
California,38.0,Chamomile,249.0,Major Market,150.0,West,26,Herbal Tea,799.0,Decaf
California,40.0,Mint,190.0,Major Market,67.0,West,27,Herbal Tea,574.0,Decaf
California,39.0,Mint,202.0,Major Market,101.0,West,27,Herbal Tea,613.0,Decaf
